# mode	english	candidate	weight	comment
jp	know	いい歳をして	899	~(いいとしをして)
jp	better	いい年をして	899	~(いいとしをして)
jp	better	いい歳をして	899	~(いいとしをして)
jp	not	否々	898	~(いやいや,いえいえ)
jp	not	否否	898	~(いやいや,いえいえ)
jp	all	否々	898	~(いやいや,いえいえ)
jp	all	否否	898	~(いやいや,いえいえ)
jp	no-not-at-all	否々	898	~(いやいや,いえいえ)
jp	no-not-at-all	否否	898	~(いやいや,いえいえ)
jp	suspicious	如何わしい	899	~(いかがわしい)
jp	unreliable	如何わしい	898	~(いかがわしい)
jp	indecent	如何わしい	897	~(いかがわしい)
jp	any	いかなる場合でも	899	~(いかなるばあいでも)
jp	any	如何なる場合でも	899	~(いかなるばあいでも)
jp	case	いかなる場合でも	899	~(いかなるばあいでも)
jp	case	如何なる場合でも	899	~(いかなるばあいでも)
jp	in-any-case	いかなる場合でも	899	~(いかなるばあいでも)
jp	in-any-case	如何なる場合でも	899	~(いかなるばあいでも)
jp	indeed	如何にも	899	~(いかにも)
jp	truly	如何にも	898	~(いかにも)
jp	very	如何にも	897	~(いかにも)
jp	totally	如何にも	896	~(いかにも)
jp	absolutely	如何にも	895	~(いかにも)
jp	sure	如何にも	894	~(いかにも)
jp	for-sure	如何にも	894	~(いかにも)
jp	many	幾つも	899	~(いくつも)
jp	plenty	幾つも	898	~(いくつも)
jp	hardly	幾つも	897	~(いくつも)
jp	bad	行けない	899	~(いけない,イケない)
jp	naughty	行けない	898	~(いけない,イケない)
jp	must	行けない	897	~(いけない,イケない)
jp	not	行けない	897	~(いけない,イケない)
jp	must-not	行けない	897	~(いけない,イケない)
jp	ought	行けない	896	~(いけない,イケない)
jp	ought-not-to	行けない	896	~(いけない,イケない)
jp	useless	行けない	895	~(いけない,イケない)
jp	hopeless	行けない	893	~(いけない,イケない)
jp	unfortunate	行けない	892	~(いけない,イケない)
jp	pity	行けない	891	~(いけない,イケない)
jp	a-pity	行けない	891	~(いけない,イケない)
jp	unable	行けない	890	~(いけない,イケない)
jp	drink	行けない	890	~(いけない,イケない)
jp	unable-to-drink	行けない	890	~(いけない,イケない)
jp	so-as-not-to	行けない	889	~(いけない,イケない)
jp	case	行けない	888	~(いけない,イケない)
jp	in-case	行けない	888	~(いけない,イケない)
jp	lest	行けない	887	~(いけない,イケない)
jp	lovable	可憐しい	899	~(いじらしい)
jp	charming	可憐しい	898	~(いじらしい)
jp	pitiful	可憐しい	897	~(いじらしい)
jp	touching	可憐しい	896	~(いじらしい)
jp	tinker	いじり回す	899	~(いじりまわす)
jp	tinker	弄り回す	899	~(いじりまわす)
jp	tinker	弄りまわす	899	~(いじりまわす)
jp	to-tinker-with	いじり回す	899	~(いじりまわす)
jp	to-tinker-with	弄り回す	899	~(いじりまわす)
jp	to-tinker-with	弄りまわす	899	~(いじりまわす)
jp	fiddle	いじり回す	898	~(いじりまわす)
jp	fiddle	弄り回す	898	~(いじりまわす)
jp	fiddle	弄りまわす	898	~(いじりまわす)
jp	to-fiddle-with	いじり回す	898	~(いじりまわす)
jp	to-fiddle-with	弄り回す	898	~(いじりまわす)
jp	to-fiddle-with	弄りまわす	898	~(いじりまわす)
jp	more	何時もより	899	~(いつもより)
jp	than	何時もより	899	~(いつもより)
jp	usual	何時もより	899	~(いつもより)
jp	more-than-usual	何時もより	899	~(いつもより)
jp	very	いとも簡単に	899	~(いともかんたんに)
jp	easily	いとも簡単に	899	~(いともかんたんに)
jp	very-easily	いとも簡単に	899	~(いともかんたんに)
jp	gallant	鯔背	899	~(いなせ)
jp	smart	鯔背	898	~(いなせ)
jp	neigh	嘶く	899	~(いななく)
jp	to-neigh	嘶く	899	~(いななく)
jp	neigh	嘶き	899	~(いななき)
jp	bray	嘶き	898	~(いななき)
jp	awfully	嫌に	899	~(いやに)
jp	awfully	厭に	899	~(いやに)
jp	come	居らっしゃる	899	~(いらっしゃる)
jp	to-come	居らっしゃる	899	~(いらっしゃる)
jp	to-be	居らっしゃる	898	~(いらっしゃる)
jp	undulation	畝り	899	~(うねり)
jp	meandering	畝り	898	~(うねり)
jp	swell	畝り	897	~(うねり)
jp	surge	畝り	896	~(うねり)
jp	roller	畝り	895	~(うねり)
jp	flustered	狼狽える	899	~(うろたえる)
jp	to-be-flustered	狼狽える	899	~(うろたえる)
jp	ray	鱝	899	~(えい,エイ)
jp	ray	鱏	899	~(えい,エイ)
jp	ray	海鷂魚	899	~(えい,エイ)
jp	japanese	斉魚	899	~(えつ,エツ)
jp	grenadier	斉魚	899	~(えつ,エツ)
jp	anchovy	斉魚	899	~(えつ,エツ)
jp	japanese-grenadier-anchovy	斉魚	899	~(えつ,エツ)
jp	to-be	お出でになる	899	~(おいでになる)
jp	to-be	御出でになる	899	~(おいでになる)
jp	come	お出でになる	898	~(おいでになる)
jp	come	御出でになる	898	~(おいでになる)
jp	to-come	お出でになる	898	~(おいでになる)
jp	to-come	御出でになる	898	~(おいでになる)
jp	to-go	お出でになる	897	~(おいでになる)
jp	to-go	御出でになる	897	~(おいでになる)
jp	style	おけさ節	899	~(おけさぶし)
jp	japanese	おけさ節	899	~(おけさぶし)
jp	folk	おけさ節	899	~(おけさぶし)
jp	song	おけさ節	899	~(おけさぶし)
jp	associated	おけさ節	899	~(おけさぶし)
jp	niigata	おけさ節	899	~(おけさぶし)
jp	prefecture	おけさ節	899	~(おけさぶし)
jp	not	お座なりになる	899	~(おざなりになる)
jp	taken	お座なりになる	899	~(おざなりになる)
jp	seriously	お座なりになる	899	~(おざなりになる)
jp	appalling	悍ましい	899	~(おぞましい)
jp	appalling	悍しい	899	~(おぞましい)
jp	dreadful	悍ましい	898	~(おぞましい)
jp	dreadful	悍しい	898	~(おぞましい)
jp	revolting	悍ましい	897	~(おぞましい)
jp	revolting	悍しい	897	~(おぞましい)
jp	fall	落っこちる	899	~(おっこちる)
jp	to-fall	落っこちる	899	~(おっこちる)
jp	fail	落っこちる	898	~(おっこちる)
jp	to-fail	落っこちる	898	~(おっこちる)
jp	unsuccessful	落っこちる	897	~(おっこちる)
jp	to-be-unsuccessful	落っこちる	897	~(おっこちる)
jp	oden	御田	899	~(おでん)
jp	oden	お田	899	~(おでん)
jp	pan	お鍋	899	~(おなべ,オナベ)
jp	pan	御鍋	899	~(おなべ,オナベ)
jp	transgender	お鍋	898	~(おなべ,オナベ)
jp	transgender	御鍋	898	~(おなべ,オナベ)
jp	man	お鍋	898	~(おなべ,オナベ)
jp	man	御鍋	898	~(おなべ,オナベ)
jp	transgender-man	お鍋	898	~(おなべ,オナベ)
jp	transgender-man	御鍋	898	~(おなべ,オナベ)
jp	female	お鍋	897	~(おなべ,オナベ)
jp	female	御鍋	897	~(おなべ,オナベ)
jp	transvestite	お鍋	897	~(おなべ,オナベ)
jp	transvestite	御鍋	897	~(おなべ,オナベ)
jp	female-transvestite	お鍋	897	~(おなべ,オナベ)
jp	female-transvestite	御鍋	897	~(おなべ,オナベ)
jp	maidservant	お鍋	896	~(おなべ,オナベ)
jp	maidservant	御鍋	896	~(おなべ,オナベ)
jp	night	お鍋	895	~(おなべ,オナベ)
jp	night	御鍋	895	~(おなべ,オナベ)
jp	work	お鍋	895	~(おなべ,オナベ)
jp	work	御鍋	895	~(おなべ,オナベ)
jp	night-work	お鍋	895	~(おなべ,オナベ)
jp	night-work	御鍋	895	~(おなべ,オナベ)
jp	make	お負けに	899	~(おまけに)
jp	make	御負けに	899	~(おまけに)
jp	matters	お負けに	899	~(おまけに)
jp	matters	御負けに	899	~(おまけに)
jp	worse	お負けに	899	~(おまけに)
jp	worse	御負けに	899	~(おまけに)
jp	to-make-matters-worse	お負けに	899	~(おまけに)
jp	to-make-matters-worse	御負けに	899	~(おまけに)
jp	what's	お負けに	898	~(おまけに)
jp	what's	御負けに	898	~(おまけに)
jp	more	お負けに	898	~(おまけに)
jp	more	御負けに	898	~(おまけに)
jp	what's-more	お負けに	898	~(おまけに)
jp	what's-more	御負けに	898	~(おまけに)
jp	top	お負けに	897	~(おまけに)
jp	top	御負けに	897	~(おまけに)
jp	on-top-of-that	お負けに	897	~(おまけに)
jp	on-top-of-that	御負けに	897	~(おまけに)
jp	charm	お呪い	899	~(おまじない)
jp	charm	御呪い	899	~(おまじない)
jp	charm	お咒い	899	~(おまじない)
jp	spell	お呪い	898	~(おまじない)
jp	spell	御呪い	898	~(おまじない)
jp	spell	お咒い	898	~(おまじない)
jp	code	お呪い	897	~(おまじない)
jp	code	御呪い	897	~(おまじない)
jp	code	お咒い	897	~(おまじない)
jp	not	お呪い	897	~(おまじない)
jp	not	御呪い	897	~(おまじない)
jp	not	お咒い	897	~(おまじない)
jp	necessary	お呪い	897	~(おまじない)
jp	necessary	御呪い	897	~(おまじない)
jp	necessary	お咒い	897	~(おまじない)
jp	understand	お呪い	897	~(おまじない)
jp	understand	御呪い	897	~(おまじない)
jp	understand	お咒い	897	~(おまじない)
jp	diaper	お襁褓気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	diaper	御襁褓気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	diaper	オムツ気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	rash	お襁褓気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	rash	御襁褓気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	rash	オムツ気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	diaper-rash	お襁褓気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	diaper-rash	御襁褓気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	diaper-rash	オムツ気触れ	899	~(おむつかぶれ,オムツかぶれ)
jp	dressing	お粧し	899	~(おめかし)
jp	dressing	御粧し	899	~(おめかし)
jp	dressing-up	お粧し	899	~(おめかし)
jp	dressing-up	御粧し	899	~(おめかし)
jp	dolling	お粧し	898	~(おめかし)
jp	dolling	御粧し	898	~(おめかし)
jp	dolling-up	お粧し	898	~(おめかし)
jp	dolling-up	御粧し	898	~(おめかし)
jp	congratulations	おめでとう御座います	899	~(おめでとうございます)
jp	congratulations	御目出度う御座います	899	~(おめでとうございます)
jp	congratulations	お目出度うございます	899	~(おめでとうございます)
jp	onigiri	お握り	899	~(おにぎり)
jp	onigiri	御握り	899	~(おにぎり)
jp	grace	お陰	899	~(おかげ)
jp	grace	お蔭	899	~(おかげ)
jp	grace	御陰	899	~(おかげ)
jp	grace	御蔭	899	~(おかげ)
jp	blessing	お陰	898	~(おかげ)
jp	blessing	お蔭	898	~(おかげ)
jp	blessing	御陰	898	~(おかげ)
jp	blessing	御蔭	898	~(おかげ)
jp	assistance	お陰	897	~(おかげ)
jp	assistance	お蔭	897	~(おかげ)
jp	assistance	御陰	897	~(おかげ)
jp	assistance	御蔭	897	~(おかげ)
jp	aid	お陰	896	~(おかげ)
jp	aid	お蔭	896	~(おかげ)
jp	aid	御陰	896	~(おかげ)
jp	aid	御蔭	896	~(おかげ)
jp	effects	お陰	895	~(おかげ)
jp	effects	お蔭	895	~(おかげ)
jp	effects	御陰	895	~(おかげ)
jp	effects	御蔭	895	~(おかげ)
jp	assistance	お陰様	899	~(おかげさま)
jp	assistance	お蔭様	899	~(おかげさま)
jp	assistance	おかげ様	899	~(おかげさま)
jp	assistance	お陰さま	899	~(おかげさま)
jp	aid	お陰様	898	~(おかげさま)
jp	aid	お蔭様	898	~(おかげさま)
jp	aid	おかげ様	898	~(おかげさま)
jp	aid	お陰さま	898	~(おかげさま)
jp	goodwill	お陰様	897	~(おかげさま)
jp	goodwill	お蔭様	897	~(おかげさま)
jp	goodwill	おかげ様	897	~(おかげさま)
jp	goodwill	お陰さま	897	~(おかげさま)
jp	grace	お陰様	896	~(おかげさま)
jp	grace	お蔭様	896	~(おかげさま)
jp	grace	おかげ様	896	~(おかげさま)
jp	grace	お陰さま	896	~(おかげさま)
jp	blessing	お陰様	895	~(おかげさま)
jp	blessing	お蔭様	895	~(おかげさま)
jp	blessing	おかげ様	895	~(おかげさま)
jp	blessing	お陰さま	895	~(おかげさま)
jp	wearing	お下げ	899	~(おさげ)
jp	wearing	御下げ	899	~(おさげ)
jp	hair	お下げ	899	~(おさげ)
jp	hair	御下げ	899	~(おさげ)
jp	braids	お下げ	899	~(おさげ)
jp	braids	御下げ	899	~(おさげ)
jp	ghost	お化け	899	~(おばけ,オバケ)
jp	ghost	御化け	899	~(おばけ,オバケ)
jp	goblin	お化け	898	~(おばけ,オバケ)
jp	goblin	御化け	898	~(おばけ,オバケ)
jp	demon	お化け	897	~(おばけ,オバケ)
jp	demon	御化け	897	~(おばけ,オバケ)
jp	unusually	お化け	896	~(おばけ,オバケ)
jp	unusually	御化け	896	~(おばけ,オバケ)
jp	large	お化け	896	~(おばけ,オバケ)
jp	large	御化け	896	~(おばけ,オバケ)
jp	something-unusually-large	お化け	896	~(おばけ,オバケ)
jp	something-unusually-large	御化け	896	~(おばけ,オバケ)
jp	haunted	お化け屋敷	899	~(おばけやしき)
jp	haunted	おばけ屋敷	899	~(おばけやしき)
jp	haunted	御化け屋敷	899	~(おばけやしき)
jp	house	お化け屋敷	899	~(おばけやしき)
jp	house	おばけ屋敷	899	~(おばけやしき)
jp	house	御化け屋敷	899	~(おばけやしき)
jp	haunted-house	お化け屋敷	899	~(おばけやしき)
jp	haunted-house	おばけ屋敷	899	~(おばけやしき)
jp	haunted-house	御化け屋敷	899	~(おばけやしき)
jp	wife	お嫁さん	899	~(およめさん)
jp	confections	お菓子	899	~(おかし)
jp	confections	御菓子	899	~(おかし)
jp	candy	お菓子	898	~(おかし)
jp	candy	御菓子	898	~(おかし)
jp	please	お願いします	899	~(おねがいします)
jp	please	御願いします	899	~(おねがいします)
jp	please	お願いしまあす	899	~(おねがいします)
jp	please	お願いいたします	899	~(おねがいいたします)
jp	please	お願い致します	899	~(おねがいいたします)
jp	please	御願い致します	899	~(おねがいいたします)
jp	please	御願いいたします	899	~(おねがいいたします)
jp	welcome	お帰りなさい	899	~(おかえりなさい)
jp	welcome	御帰りなさい	899	~(おかえりなさい)
jp	home	お帰りなさい	899	~(おかえりなさい)
jp	home	御帰りなさい	899	~(おかえりなさい)
jp	welcome-home	お帰りなさい	899	~(おかえりなさい)
jp	welcome-home	御帰りなさい	899	~(おかえりなさい)
jp	sorry	お気の毒	899	~(おきのどく)
jp	sorry	御気の毒	899	~(おきのどく)
jp	sorry	お気のどく	899	~(おきのどく)
jp	i-am-sorry	お気の毒	899	~(おきのどく)
jp	i-am-sorry	御気の毒	899	~(おきのどく)
jp	i-am-sorry	お気のどく	899	~(おきのどく)
jp	guest	お客さん	899	~(おきゃくさん)
jp	guest	御客さん	899	~(おきゃくさん)
jp	customer	お客さん	898	~(おきゃくさん)
jp	customer	御客さん	898	~(おきゃくさん)
jp	shopper	お客さん	897	~(おきゃくさん)
jp	shopper	御客さん	897	~(おきゃくさん)
jp	audience	お客さん	896	~(おきゃくさん)
jp	audience	御客さん	896	~(おきゃくさん)
jp	sightseer	お客さん	895	~(おきゃくさん)
jp	sightseer	御客さん	895	~(おきゃくさん)
jp	guest	お客様	899	~(おきゃくさま)
jp	guest	お客さま	899	~(おきゃくさま)
jp	guest	御客様	899	~(おきゃくさま)
jp	guest	御客さま	899	~(おきゃくさま)
jp	customer	お客様	898	~(おきゃくさま)
jp	customer	お客さま	898	~(おきゃくさま)
jp	customer	御客様	898	~(おきゃくさま)
jp	customer	御客さま	898	~(おきゃくさま)
jp	shopper	お客様	897	~(おきゃくさま)
jp	shopper	お客さま	897	~(おきゃくさま)
jp	shopper	御客様	897	~(おきゃくさま)
jp	shopper	御客さま	897	~(おきゃくさま)
jp	audience	お客様	896	~(おきゃくさま)
jp	audience	お客さま	896	~(おきゃくさま)
jp	audience	御客様	896	~(おきゃくさま)
jp	audience	御客さま	896	~(おきゃくさま)
jp	sightseer	お客様	895	~(おきゃくさま)
jp	sightseer	お客さま	895	~(おきゃくさま)
jp	sightseer	御客様	895	~(おきゃくさま)
jp	sightseer	御客さま	895	~(おきゃくさま)
jp	good	お休みなさい	899	~(おやすみなさい)
jp	good	御休みなさい	899	~(おやすみなさい)
jp	night	お休みなさい	899	~(おやすみなさい)
jp	night	御休みなさい	899	~(おやすみなさい)
jp	good-night	お休みなさい	899	~(おやすみなさい)
jp	good-night	御休みなさい	899	~(おやすみなさい)
jp	shinto	お宮	899	~(おみや)
jp	shrine	お宮	899	~(おみや)
jp	shinto-shrine	お宮	899	~(おみや)
jp	miyamairi	お宮参り	899	~(おみやまいり)
jp	miyamairi	御宮参り	899	~(おみやまいり)
